export-plot data (NetLogo 5.2.0),
liu.nlogo,
10/20/2015 00:16:47:933 +0800,
,
MODEL SETTINGS,
,
利润差,
仿真次数,利润差
0,10.3021579
1,10.3021579
2,10.29846895
3,10.29494598
4,10.29159093
5,10.28840571
6,10.28539226
7,10.28255252
8,10.27988842
9,10.27740192
10,10.27509497
11,10.27296953
12,10.27102756
13,10.26927103
14,10.26770192
15,10.26632221
16,10.2651339
17,10.26413897
18,10.26333943
19,10.26273728
20,10.26233454
21,10.26213323
22,10.26213537
23,10.26234301
24,10.26275818
25,10.26338293
26,10.26421932
27,10.26526941
28,10.26653527
29,10.26801897
30,10.26972261
31,10.27164827
32,10.27379807
33,10.27617409
34,10.27877847
35,10.28161333
36,10.2846808
37,10.28798302
38,10.29152214
39,10.29530032
40,10.29931973
41,10.30358254
42,10.30809094
43,10.31284713
44,10.3178533
45,10.32311167
46,10.32862446
47,10.3343939
48,10.34042224
49,10.34671172
50,10.3532646
51,10.36008317
52,10.36716968
53,10.37452645
54,10.38215576
55,10.39005994
56,10.3982413
57,10.40670218
58,10.41544492
59,10.42447188
60,10.43378542
61,10.44338793
62,10.45328179
63,10.4634694
64,10.47395317
65,10.48473554
66,10.49581893
67,10.5072058
68,10.5188986
69,10.53089982
70,10.54321193
71,10.55583743
72,10.56877884
73,10.58203868
74,10.59561948
75,10.60952381
76,10.62375422
77,10.63831329
78,10.65320361
79,10.66842779
80,10.68398845
81,10.69988822
82,10.71612976
83,10.73271571
84,10.74964877
85,10.76693162
86,10.78456697
87,10.80255755
88,10.82090608
89,10.83961534
90,10.85868808
