export-plot data (NetLogo 5.2.0),,,,,,,
liu.nlogo,,,,,,,
10/20/2015 00:16:35:101 +0800,,,,,,,
,,,,,,,
MODEL SETTINGS,,,,,,,
,,,,,,,
Firm A,,,,Firm B,,,
仿真次数,service,,,仿真次数,service,,
0,0.459295481,,,0,0.134704519,,
1,0.459295481,,,1,0.134704519,,
2,0.454657318,,,2,0.133342682,,
3,0.450019913,,,3,0.131980087,,
4,0.445383241,,,4,0.130616759,,
5,0.44074728,,,5,0.12925272,,
6,0.436112003,,,6,0.127887997,,
7,0.431477389,,,7,0.126522611,,
8,0.426843411,,,8,0.125156589,,
9,0.422210048,,,9,0.123789952,,
10,0.417577273,,,10,0.122422727,,
11,0.412945064,,,11,0.121054936,,
12,0.408313396,,,12,0.119686604,,
13,0.403682246,,,13,0.118317754,,
14,0.399051589,,,14,0.116948411,,
15,0.394421401,,,15,0.115578599,,
16,0.389791659,,,16,0.114208341,,
17,0.385162338,,,17,0.112837662,,
18,0.380533415,,,18,0.111466585,,
19,0.375904866,,,19,0.110095134,,
20,0.371276666,,,20,0.108723334,,
21,0.366648791,,,21,0.107351209,,
22,0.362021219,,,22,0.105978781,,
23,0.357393924,,,23,0.104606076,,
24,0.352766883,,,24,0.103233117,,
25,0.348140072,,,25,0.101859928,,
26,0.343513467,,,26,0.100486533,,
27,0.338887043,,,27,0.099112957,,
28,0.334260778,,,28,0.097739222,,
29,0.329634647,,,29,0.096365353,,
30,0.325008626,,,30,0.094991374,,
31,0.32038269,,,31,0.09361731,,
32,0.315756817,,,32,0.092243183,,
33,0.311130982,,,33,0.090869018,,
34,0.306505161,,,34,0.089494839,,
35,0.301879329,,,35,0.088120671,,
36,0.297253463,,,36,0.086746537,,
37,0.29262754,,,37,0.08537246,,
38,0.288001533,,,38,0.083998467,,
39,0.283375421,,,39,0.082624579,,
40,0.278749177,,,40,0.081250823,,
41,0.274122779,,,41,0.079877221,,
42,0.269496202,,,42,0.078503798,,
43,0.264869421,,,43,0.077130579,,
44,0.260242413,,,44,0.075757587,,
45,0.255615153,,,45,0.074384847,,
46,0.250987618,,,46,0.073012382,,
47,0.246359781,,,47,0.071640219,,
48,0.24173162,,,48,0.07026838,,
49,0.23710311,,,49,0.06889689,,
50,0.232474227,,,50,0.067525773,,
51,0.227844945,,,51,0.066155055,,
52,0.223215241,,,52,0.064784759,,
53,0.21858509,,,53,0.06341491,,
54,0.213954467,,,54,0.062045533,,
55,0.209323348,,,55,0.060676652,,
56,0.204691708,,,56,0.059308292,,
57,0.200059522,,,57,0.057940478,,
58,0.195426766,,,58,0.056573234,,
59,0.190793415,,,59,0.055206585,,
60,0.186159444,,,60,0.053840556,,
61,0.181524828,,,61,0.052475172,,
62,0.176889543,,,62,0.051110457,,
63,0.172253562,,,63,0.049746438,,
64,0.167616862,,,64,0.048383138,,
65,0.162979417,,,65,0.047020583,,
66,0.158341202,,,66,0.045658798,,
67,0.153702192,,,67,0.044297808,,
68,0.149062362,,,68,0.042937638,,
69,0.144421685,,,69,0.041578315,,
70,0.139780138,,,70,0.040219862,,
71,0.135137694,,,71,0.038862306,,
72,0.130494328,,,72,0.037505672,,
73,0.125850014,,,73,0.036149986,,
74,0.121204727,,,74,0.034795273,,
75,0.116558442,,,75,0.033441558,,
76,0.111911131,,,76,0.032088869,,
77,0.10726277,,,77,0.03073723,,
78,0.102613333,,,78,0.029386667,,
79,0.097962794,,,79,0.028037206,,
80,0.093311126,,,80,0.026688874,,
81,0.088658304,,,81,0.025341696,,
82,0.084004301,,,82,0.023995699,,
83,0.079349091,,,83,0.022650909,,
84,0.074692648,,,84,0.021307352,,
85,0.070034945,,,85,0.019965055,,
86,0.065375955,,,86,0.018624045,,
87,0.060715654,,,87,0.017284346,,
88,0.056054012,,,88,0.015945988,,
89,0.051391004,,,89,0.014608996,,
90,0.046726604,,,90,0.013273396,,
